,Culture Centre,topic,#vistors
0,Alternator Centre for Contemporary Art,0,5
1,Alternator Centre for Contemporary Art,1,1
2,Alternator Centre for Contemporary Art,2,4
3,Ben Lee Park,0,2
4,Ben Lee Park,1,1
5,Benvoulin Heritage Church,2,1
6,Black Box Theatre,0,4
7,Black Box Theatre,1,3
8,Black Box Theatre,2,3
9,Creekside Theatre,2,1
10,Father Pandosy Mission,0,1
11,Father Pandosy Mission,1,2
12,First United Church,0,4
13,First United Church,1,1
14,First United Church,2,3
15,French Cultural Centre,0,2
16,Gallagher's Canyon Golf & Country Club,0,1
17,Golfview park,1,1
18,Kasugai Gardens,2,2
19,Kelowna Actors Studio,0,6
20,Kelowna Actors Studio,1,3
21,Kelowna Actors Studio,2,3
22,Kelowna Art Gallery,0,34
23,Kelowna Art Gallery,1,5
24,Kelowna Art Gallery,2,13
25,Kelowna ArtWalk,0,1
26,Kelowna ArtWalk,1,1
27,Kelowna ArtWalk,2,1
28,Kelowna City Park,0,5
29,Kelowna City Park,1,3
30,Kelowna City Park,2,5
31,Kelowna Community Concert Association,0,4
32,Kelowna Community Concert Association,1,1
33,Kelowna Community Concert Association,2,3
34,Kelowna Community Music School,0,1
35,Kelowna Community Theatre,0,37
36,Kelowna Community Theatre,1,13
37,Kelowna Community Theatre,2,17
38,Kelowna Downtown YMCA,0,1
39,Kelowna Farmers' and Crafters' Market,0,2
40,Kelowna Farmers' and Crafters' Market,1,1
41,Kelowna Forum,0,1
42,Kerry Park,0,1
43,Kerry Park,2,1
44,Mary Irwin Theatre,0,3
45,Mary Irwin Theatre,1,2
46,Mary Irwin Theatre,2,1
47,Mission Creek Regional Park,0,1
48,Mission Creek Regional Park,1,1
49,Mission Hill Family Estate Winery,0,1
50,Mosaic Books,0,1
51,New Arts Collective,0,2
52,Okanagan Heritage Museum,0,14
53,Okanagan Heritage Museum,1,4
54,Okanagan Heritage Museum,2,14
55,Okanagan Military Museum,0,2
56,Okanagan Military Museum,1,2
57,Okanagan Military Museum,2,3
58,Okanagan Regional Library,0,6
59,Okanagan Regional Library,1,5
60,Okanagan Regional Library,2,7
61,Okanagan Sikh Temple,0,1
62,Okanagan Symphony Society,0,2
63,Okanagan Symphony Society,1,1
64,Pandosy Village,0,1
65,Parkinson Recreation Centre,0,6
66,Parkinson Recreation Centre,1,1
67,Parkinson Recreation Centre,2,3
68,Parks Alive!,0,6
69,Parks Alive!,1,5
70,Parks Alive!,2,3
71,Prospera Place,0,7
72,Prospera Place,1,8
73,Prospera Place,2,7
74,Rotary Centre for the Arts,0,31
75,Rotary Centre for the Arts,1,13
76,Rotary Centre for the Arts,2,16
77,Rutland Activity Centre,0,1
78,Rutland Activity Centre,1,1
79,Rutland Activity Centre,2,1
80,Rutland Centennial Hall,0,2
81,Society for Learning in Retirement,0,3
82,Society for Learning in Retirement,1,1
83,Society for Learning in Retirement,2,3
84,Stuart Park,0,19
85,Stuart Park,1,15
86,Stuart Park,2,16
87,The Canadian School of Ballet,2,1
88,The Laurel Packinghouse,0,9
89,The Laurel Packinghouse,1,3
90,The Laurel Packinghouse,2,5
91,Tutt Street Gallery,2,1
92,UBC Okanagan,0,5
93,UBC Okanagan,1,1
94,UBC Okanagan,2,4
95,Water Street Senior Centre,0,3
96,Water Street Senior Centre,1,1
97,Water Street Senior Centre,2,3
98,Waterfront Park,0,8
99,Waterfront Park,1,5
100,Waterfront Park,2,5
